Record ID;Nom de la prestation;Associated Company;Nom de domaine;Marques;Associated Company IDs
4568162296;Pack Standard : pharmacie-4-rues-wallers.com;Pharmacie Des 4 Rues;pharmacie-4-rues-wallers.com;<p>idem</p>;8172011201
4413345236;Pack Standard : jardinidealbezannes.fr;Jardin idéal;jardinidealbezannes.fr;;11191202272
4271501808;Pack Standard : pharmacie-du-taillon.com;Pharmacie du Taillon;pharmacie-du-taillon.com;"<ul><ul><li>Aromathérapie : Phytosun aroms, so aroma</li><li>Homéopathie : Lehning, Boiron,</li><li>Phytothérapie : arkopharma, olisma</li><li>Micro nutrition : &nbsp;Nutergia, pilege</li><li>Matériel Médical : madouest, oxypharm</li><li>Orthopédie : ,Orliman, thuasne</li><li>Contention : &nbsp;innothera, radiante,</li><li>Produits vétérinaires : biocanina, elanco, bayer</li><li>Parapharmacie : la Roche Posay, Beau terra, bioderma, la rosée</li><li>Hygiène intime : Saforelle,&nbsp; Hydralin, Roge Cavailles,&nbsp;</li><li>Compléments alimentaires : &nbsp;Fortimel, clinutren</li><li>Produits Solaires : bioderma, la rosée, mustela</li><li>produits bébé: mustela, weleda, mam, luc &amp; lea</li></ul></ul><div>&nbsp;</div>";10949265346
4270541762;Pack Premium : pharmacie-de-la-sabliere-44260.com;Pharmacie de la Sablière;pharmacie-de-la-sabliere-44260.com;;8171998924
4270363636;Pack Access : pharmacie-bertocchi-chantilly.com;Pharmacie Bertocchi (anc. des Lycées);pharmacie-bertocchi-chantilly.com;<p>idem</p>;8171980781
4269893569;Pack Access : pharmacie-hoteldeville-linselles.fr;Pharmacie De L'Hôtel De Ville - Linselles;pharmacie-hoteldeville-linselles.fr;"<p>Les marques restent les mêmes: Quelques modifications:</p><p>Enlever:</p><p>Joly medical <span>&nbsp; </span>/ Laino / respire</p><p>Neutraderm bébé</p><p>&nbsp;</p><p>Ajouter</p><p>Dermo :Alvadiem / La roche posay / cerave / Granions</p><p>Bébé Klorane bébé / Luc Et lea</p><p>Huiles essentielles: Pranarom / herbarlgem / Biofloral /</p><p>Dentaire: Elgidium</p>";8171962581
4207217863;Pack Standard : la-pharmacie-viarme.com;Pharmacie Viarme;la-pharmacie-viarme.com;;8172030918
4207508468;Pack Autre : amicoachpro.com;Amicoachpro;amicoachpro.com;;11079658213
4205307382;Pack Maintenance : pharmaciephalempin.com;Pharmacie Druon;pharmaciephalempin.com;<p>idem</p>;8171999181
4158933198;Pack Standard : pharmacie-beaune.com;Pharmacie Saint Jacques - Deuleuze - Beaune;pharmacie-beaune.com;<p>Matériel médical : Pharmat</p><p>Orthopedie : orliman</p><p>Bas de contention : radiante</p><p>Parapharmacie : Avene, La roche posay, vichy, cerave, la rosée, nuxe, cavailles, Delcos, klorane, ducray, a-derma, cicabiafine, uriage, eucerin</p><p>Lait infantile : novalac, biostime, modilac</p><p>Produits bébés : mam, mustela, machouyou, calmosine, popote</p><p>Coloration cheveux : 3 chênes</p><p>Homeopathie : boiron</p><p>Aromatherapie : pranarom,</p><p>Phytothérapie : arkopharma, pileje, aboca</p><p>Complements alimentaires : santé verte,</p><p>Micronutrition : pileje, nhco, ysonut, nutergia,</p><p>Tisane : pukka</p><p>Dénutrition : fortimel, delical</p><p>Dentifrice : marvis, botot, curaprox</p><p>Produit vétérinaire : biocanina, frontline, clément thekan</p><p>Incontinence : confiance</p><p>Hygiène intime : saforelle, hydralin, saugella</p><p>CBD : granions</p><p>Anti moustique et anti poux : cinq sur cinq, insecte écran,</p>;11135576819
4127420359;Pack Maintenance : latitudedeletre.fr;Latitude de l'être;latitudedeletre.fr;;8172030912
4127122144;Pack Standard : pharmadn.fr;PharmaDN;pharmadn.fr;;11188814012
4066935253;Pack Standard : pharmacie-du-vigenal-limoges.fr;Pharmacie du Vigenal;pharmacie-du-vigenal-limoges.fr;"<p>Matériel médical : Oxypharm</p><p>Orthopédie : Thuasne - Orliman</p><p>&nbsp;</p>";10831062459
4045433021;Pack Standard : pharmacie-paz-sante.fr;Pharmacie Paz'Santé (anc. Mignen Charbeaux);pharmacie-paz-sante.fr;"<p>Page MARQUES&nbsp;(faire quelques modifs)</p><p>&nbsp;</p><p>MODIFIER : DONJOY&nbsp;et non ""knee bracing""</p><p>&nbsp;</p><p>AJOUTER : Alcura (Matériel Médical) / Bayer santé animale -Elanco (Produits Vétérinaires) / Eucerin (para) / Même (para) / Unifarco (para) / Santis Lab ; Santis Pharma (Micronutrition) / Mam (Produits bébés) / Mon petit La Rosée (Produits bébés) / Oral B (Produits Dentaires) / XL S Medical (micronutrition)&nbsp;</p><p>&nbsp;</p><p>ENLEVER : PharmaConfort / AVENT / Avène (Produits bébés)&nbsp;</p>";8171962058
4033557199;Pack Intranet : intranet.groupement-resonor.fr;GROUPEMENT RESONOR SOPROPHAR;intranet.groupement-resonor.fr;;8171998697
4025129415;Pack Access : pharmacie-de-piriac.fr;Pharmacie de Piriac;pharmacie-de-piriac.fr;"<p>Avene<br>Bioderma<br>La Rosée<br>Avril<br>Klorane<br>Weleda<br>La Roche Posay<br>Pranarom<br>Arko<br>Aboca<br>Pukka<br>Activa<br>Nutreov<br>Nat &amp; Form - Atlantic Nature<br>Mavala<br>Vitry<br>Beesline<br>Novalac<br>Picot<br>MAM<br>Frontline<br>Innothera<br>Thuasne<br>Gibaud<br>Donjoy<br>Sigvaris<br>Fresubin</p>";11056517358
